№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Phone,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru
1,1,жуулчны бааз,Майхан толгой гэр буудал,Maikhan Tolgoi Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.17979,99.76283,99093339,https://www.dropbox.com/scl/fi/pnqzth1q7ss1ufpplsz81/.JPG?rlkey=9cr78xwzdd6lip9k9pvizbrh6&raw=1,마이칸 톨고이 게르 캠프,マイハン トルゴイ ゲル キャンプ,迈汗陶勒盖蒙古包营地,Лагерь Майхан Толгой Гер
2,1,жуулчны бааз,Уран террас лож,Uran Terrace Lodge,Архангай,Arkhangai,Тариат,Tariat,48.18543,99.79295,88001480,https://www.dropbox.com/scl/fi/y5obcb1fyny3sj7b7epkn/.jpg?rlkey=6xt4xtzwsivi0fs991buk6i25&raw=1,우란 테라스 로지,ウランテラスロッジ,乌兰露台旅馆,Уран Террас Лодж
3,1,жуулчны бааз,Далай ван цагааннуур жуулчны бааз,Dalaivan Tsagaannuur Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.18568,99.79411,99333883,https://www.dropbox.com/scl/fi/joqnzm6pbt4pyrsjqjesj/.jpg?rlkey=f9rpst8dqox239n3tw5wcmpmw&raw=1,달라이반 차가누르 투어리스트 캠프,ダライバン ツァガーヌール ツーリスト キャンプ,达莱万查干努尔旅游营地,Туристический лагерь Далайван Цагааннуур
4,1,жуулчны бааз,Сөртийн тулга эко гэр буудал,Surtiin Tulga Eco Ger Camp,Архангай,Arkhangai,Тариат,Tariat,48.18584,99.8016,99817553,https://www.dropbox.com/scl/fi/u095ooroq5py281m01x4b/.jpg?rlkey=rx7f7b1p2jw9ljptnwt320st8&raw=1,수르티인 툴가 에코 게르 캠프,スルティン トゥルガ エコ ゲル キャンプ,苏尔廷图尔加生态蒙古包营地,Лагерь Surtiin Tulga Eco Ger
5,1,жуулчны бааз,Их хорго жуулчны бааз,Ikh Khorgo Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.18171,99.81205,99089496,https://www.dropbox.com/scl/fi/294o4p8t1gxhckg18seqk/.jpg?rlkey=zw7xl7w8ggwyk01k3thtphvae&raw=1,익 코르고 투어리스트 캠프,イク ホルゴ ツーリスト キャンプ,Ikh Khorgo 旅游营地,Туристическая база Их Хорго
6,1,жуулчны бааз,Хорго  жуулчны бааз,Khorgo Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.20423,99.84627,88692847,https://www.dropbox.com/scl/fi/37851r84osfknnrggtzfg/.jpg?rlkey=pbwinogenbopcrcnerg7gltyk&raw=1,코르고 관광 캠프,ホルゴツーリストキャンプ,霍尔戈旅游营地,Туристический лагерь Хорго
7,1,жуулчны бааз,Тэрх энх буудал,Terkh Enkh Resort,Архангай,Arkhangai,Тариат,Tariat,48.18098,99.81028,99110625,https://www.dropbox.com/scl/fi/jc7sc37eh1tuemfsevjc3/.jpg?rlkey=qgtf4ztze89me9e8osryfrua6&raw=1,테르크 엔크 리조트,テルク エンク リゾート,特尔克恩赫度假村,Терх Энх Курорт
8,1,жуулчны бааз,Нуурын толь кэмп,Nuuryn Toli Camp,Архангай,Arkhangai,Тариат,Tariat,48.18097,99.81666,99775163,https://www.dropbox.com/scl/fi/aaia1ywprn9kk2lecbe2u/.jpg?rlkey=4su20c2pzavwn31e85i58tfd7&raw=1,누린 톨리 캠프,ヌーリン トリ キャンプ,努伦托利营地,Лагерь Нуурын Толи
9,1,жуулчны бааз,Цагааннуур кэмп,Tsagaannuur Camp,Архангай,Arkhangai,Тариат,Tariat,48.17742,99.81219,,https://www.dropbox.com/scl/fi/vwh8my3mjsmbmel2pvzny/.jpg?rlkey=ba7kdz9xg4zixwc8bhd6o00hw&raw=1,차가누르 캠프,ツァガーヌール キャンプ,察干努尔营地,Лагерь Цагааннуур
10,1,жуулчны бааз,Чандмань эко жуулчны бааз,Chandmani Eco Tourist Camp,Архангай,Arkhangai,Тариат,Tariat,48.17296,99.81434,88337690,,찬드마니 에코 투어리스트 캠프,チャンドマニ エコ ツーリスト キャンプ,昌德玛尼生态旅游营地,Эко-туристический лагерь Чандмани
